2026-03-28 12:08:10,233 | SAME_GENERATED | header=ZCZC-WXR-TXP-0655*-06561*-065532-065500+0010-0871808-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.02s | sr=22050
2026-03-28 12:09:50,301 | SAME_GENERATED | header=ZCZC-WXR-TXP-065500-065511-065512-065513-065514-065515-065516-065521-065522-065523-065524-065531-065532-065533-065534-065541-065542-065543-065611-065612-065613-065614+0010-0871809-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=25.83s | sr=22050
2026-03-28 12:19:44,463 | SAME_GENERATED | header=ZCZC-EAS-CEM-065500-065511-065512-065513-065514-065515-065516-065521-065522-065523-065524-065531-065532-065533-065534-065541-065542-065543-065611-065612-065613-065614+1600-0871819-BTTRADIO- | tone=WXR | attn=8.0s | audio=output/sk-saskatoon/en-CA/alert_urn:oid:2.49.0.1.124.2078879086.2026.wav | duration=64.87s | sr=22050
2026-03-28 12:24:12,462 | SAME_GENERATED | header=ZCZC-EAS-CEM-065500-065511-065512-065513-065514-065515-065516-065521-065522-065523-065524-065531-065532-065533-065534-065541-065542-065543-065611-065612-065613-065614+1556-0871823-BTTRADIO- | tone=WXR | attn=8.0s | audio=output/sk-saskatoon/en-CA/alert_urn:oid:2.49.0.1.124.1018838189.2026.wav | duration=85.44s | sr=22050
2026-03-28 12:42:20,667 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065611-065612-065613-065614-065532-065500-065511-065512-065513-065514-065515-065516-065521-065522-065523-065524-065531-065533-065534-065541-065542-065543+0010-0871842-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=26.15s | sr=22050
2026-03-28 12:46:43,037 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0871846-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 13:05:20,758 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0871905-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 13:06:14,736 | SAME_GENERATED | header=ZCZC-EAS-RWT-065100-065531-065532-065533-065534-065521-065522-065523-065524+0015-0871906-BTTRADIO- | tone=WXR | attn=8.0s | audio=output/sk-saskatoon/sametest_RWT_combined.wav | duration=114.02s | sr=22050
2026-03-28 13:23:21,400 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065531-065532-065533-065534-065521-065522-065523-065524+0010-0871923-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=21.67s | sr=22050
2026-03-28 13:24:00,760 | SAME_GENERATED | header=ZCZC-EAS-RWT-065100-065531-065532-065533-065534-065521-065522-065523-065524+0015-0871924-BTTRADIO- | tone=WXR | attn=8.0s | audio=none | duration=21.67s | sr=22050
